#{"t_start": 1777060135.0421252, "env_id": "None"}
r,l,t
-18.0,27,5.660709
-23.0,62,5.809684
-9.0,63,5.948555
-8.0,105,6.19481
6.0,22,6.246602
-26.0,33,6.321687
-23.0,154,6.671773
-18.0,23,6.719582
-21.0,50,6.84866
-16.0,15,6.882245
-1.0,114,7.149112
9.0,105,7.402171
-3.0,54,7.513829
-21.0,20,7.570944
-15.0,98,7.805743
-8.0,33,7.883025
-19.0,164,8.27431
-7.0,20,8.322273
-27.0,68,8.482687
-23.0,86,8.675753
-19.0,190,9.131456
-17.0,22,9.180827
-22.0,29,9.24405
-11.0,74,9.42132
-25.0,34,9.501857
-24.0,47,9.614446
-17.0,40,9.729184
-18.0,161,10.112377
12.0,48,10.230429
-16.0,59,10.36964
-22.0,39,19.324994
-8.0,97,19.641594
-18.0,21,19.693174
-17.0,42,19.801419
-26.0,45,19.903074
-2.0,91,20.134174
-18.0,47,20.253373
-8.0,35,20.33964
-20.0,71,20.511542
-9.0,38,20.603293
-22.0,71,20.793117
-23.0,30,20.870418
-9.0,21,20.913524
-7.0,94,21.146101
17.0,47,21.263174
-7.0,104,21.508178
-20.0,23,21.559449
-16.0,109,21.832095
-4.0,99,22.05059
-22.0,37,22.144047
9.0,53,22.258482
-25.0,52,22.386666
-21.0,72,22.55237
-17.0,44,22.657521
-17.0,118,22.954129
-18.0,33,23.033628
-9.0,158,23.401116
-15.0,94,23.625264
4.0,22,23.672525
-17.0,112,23.948211
-18.0,55,24.114985
-19.0,34,24.238457
-24.0,141,33.379514
-15.0,156,33.734638
7.0,39,33.829039
5.0,183,34.289933
-20.0,47,34.401275
-14.0,63,34.550265
-19.0,224,35.048579
-6.0,73,35.225526
-16.0,101,35.449423
-13.0,32,35.537502
-22.0,153,35.884839
-20.0,81,36.066093
-3.0,22,36.113513
-19.0,94,36.336908
5.0,43,36.433485
-8.0,53,36.575054
-15.0,248,37.209654
11.0,17,37.239136
-22.0,107,37.520207
2.0,22,37.576128
-19.0,18,37.619234
4.0,22,37.652914
-10.0,65,37.812109
-14.0,85,38.012499
-16.0,113,47.461026
-23.0,30,47.549634
-25.0,52,47.68015
-20.0,103,47.930509
-20.0,39,48.030221
-8.0,125,48.337592
-17.0,52,48.465445
-17.0,96,48.691398
-2.0,79,48.894807
-11.0,92,49.097665
-25.0,102,49.336779
-22.0,41,49.433476
-27.0,38,49.520156
-3.0,18,49.562514
-23.0,54,49.690844
15.0,45,49.789498
-18.0,75,49.96445
9.0,41,50.063987
-15.0,84,50.255745
-18.0,33,50.332513
3.0,28,50.385726
-21.0,40,50.479777
-7.0,70,50.656838
-15.0,58,50.785015
-25.0,34,50.864392
-11.0,50,50.981625
-23.0,84,51.160701
-10.0,49,51.272846
-11.0,56,51.401024
10.0,62,51.546589
-3.0,28,51.611878
-15.0,136,51.928956
-20.0,35,52.012196
14.0,28,52.081129
-20.0,53,61.213771
3.0,141,61.551867
-10.0,103,61.811717
-16.0,59,61.955709
-19.0,76,62.128019
-20.0,29,62.197299
4.0,48,62.312541
-22.0,27,62.377296
-10.0,69,62.542662
-18.0,87,62.742388
-30.0,31,62.822346
-8.0,27,62.881886
20.0,79,63.081788
13.0,107,63.332155
4.0,218,63.85183
-15.0,18,63.894148
8.0,44,64.002248
8.0,62,64.151914
-20.0,113,64.422211
-20.0,49,64.592852
4.0,6,64.616296
-6.0,69,64.787143
-6.0,119,65.079495
-10.0,117,65.352231
-22.0,75,65.527861
-22.0,29,65.592007
7.0,95,65.82887
5.0,101,66.072975
-4.0,63,74.496109
3.0,62,74.634984
9.0,91,74.845654
4.0,18,74.890445
16.0,72,75.061873
2.0,37,75.128309
30.0,135,75.448394
4.0,60,75.58663
6.0,54,75.720873
4.0,40,75.799152
0.0,79,75.996137
-6.0,181,76.414556
0.0,173,76.799019
8.0,30,76.878591
-16.0,51,77.001991
-3.0,72,77.159035
4.0,104,77.399607
-8.0,51,77.524374
32.0,100,77.752253
-6.0,43,77.861046
7.0,203,78.321015
18.0,66,78.482173
-16.0,149,78.828846
-14.0,87,79.033823
-9.0,26,79.079892
12.0,78,87.472039
4.0,56,87.60084
4.0,189,88.042982
8.0,22,88.094707
24.0,267,88.705775
14.0,42,88.801265
24.0,31,88.877733
-9.0,24,88.928389
14.0,34,89.010621
11.0,157,89.384973
6.0,32,89.44954
-16.0,45,89.562619
8.0,94,89.772907
-17.0,26,89.844414
-6.0,47,89.963252
1.0,68,90.110347
1.0,23,90.158717
22.0,118,90.432339
14.0,44,90.545123
12.0,46,90.641909
25.0,93,90.877954
4.0,79,91.062669
1.0,42,91.158312
13.0,71,91.335926
5.0,85,91.513764
20.0,87,91.722197
14.0,98,91.944674
1.0,88,99.789076
13.0,27,99.86129
9.0,63,100.010521
12.0,40,100.094775
10.0,62,100.239931
8.0,44,100.33665
20.0,74,100.514364
7.0,45,100.654765
-5.0,30,100.725294
16.0,61,100.869995
3.0,24,100.910015
10.0,36,100.994133
14.0,40,101.09674
9.0,151,101.433436
10.0,20,101.48204
13.0,73,101.660208
22.0,88,101.861022
1.0,50,101.97772
6.0,58,102.111023
12.0,28,102.177338
25.0,43,102.271353
20.0,69,102.43251
43.0,59,102.57696
10.0,62,102.72243
24.0,32,102.786453
44.0,111,103.044148
11.0,43,103.143126
9.0,29,103.222599
38.0,36,103.302674
24.0,74,103.46785
13.0,27,103.52857
16.0,84,103.737277
2.0,37,103.817136
7.0,19,103.861421
10.0,50,103.978239
45.0,74,104.143474
23.0,54,104.272849
8.0,38,104.35307
5.0,37,104.449789
20.0,90,112.877391
20.0,35,112.943591
82.0,155,113.320437
-11.0,16,113.351027
15.0,33,113.432265
-3.0,64,113.577937
-1.0,62,113.722865
28.0,67,113.877482
39.0,74,114.044795
7.0,25,114.095463
24.0,80,114.287959
39.0,47,114.396714
0.0,27,114.449306
3.0,19,114.497319
4.0,10,114.513605
13.0,77,114.69824
11.0,51,114.819509
9.0,27,114.877014
13.0,49,114.999219
13.0,53,115.128972
74.0,156,115.54255
11.0,17,115.572941
11.0,91,115.781965
5.0,19,115.827618
30.0,93,116.044435
12.0,64,116.189664
1.0,42,116.286293
8.0,32,116.371525
8.0,80,116.558125
3.0,17,116.605987
46.0,134,116.911996
20.0,59,117.04443
19.0,51,117.17502
23.0,40,117.257516
18.0,57,117.40888
77.0,151,125.731391
15.0,37,125.807689
16.0,36,125.908182
8.0,59,126.043102
54.0,118,126.30212
51.0,115,126.568424
13.0,41,126.664961
46.0,75,126.842984
3.0,34,126.929821
20.0,34,127.009722
83.0,86,127.230577
11.0,65,127.379713
30.0,67,127.554669
49.0,91,127.762245
-5.0,16,127.811867
67.0,95,128.029968
6.0,31,128.110501
56.0,89,128.301009
-5.0,24,128.365047
17.0,51,128.493647
31.0,54,128.607404
0.0,31,128.676034
92.0,138,128.992019
67.0,127,129.267359
59.0,79,129.459183
49.0,57,129.591369
38.0,91,129.795273
79.0,104,130.043754
52.0,60,130.188811
11.0,33,130.269632
60.0,78,139.258602
11.0,39,139.346236
21.0,42,139.44318
86.0,148,139.782348
2.0,28,139.857089
85.0,134,140.173132
71.0,97,140.399204
16.0,50,140.512257
33.0,46,140.625797
14.0,34,140.690237
40.0,77,140.875698
42.0,81,141.059928
41.0,140,141.382351
7.0,30,141.446964
99.0,153,141.817662
89.0,135,142.124084
20.0,75,142.31485
78.0,103,142.618036
141.0,185,143.076973
15.0,25,143.124486
48.0,58,143.253327
17.0,45,143.381146
30.0,28,143.445291
13.0,83,143.638862
66.0,136,143.959606
61.0,78,152.075559
93.0,107,152.317023
59.0,109,152.591833
217.0,267,153.204116
30.0,55,153.333148
64.0,138,153.654813
12.0,36,153.735303
57.0,91,153.942616
69.0,96,154.175755
93.0,166,154.559233
130.0,152,154.906632
27.0,28,154.975185
37.0,67,155.12435
183.0,255,155.708424
43.0,52,155.825266
39.0,42,155.923163
65.0,113,156.15661
9.0,41,156.279204
149.0,257,165.296549
41.0,60,165.505733
46.0,59,165.648046
70.0,93,165.856711
61.0,68,166.00708
13.0,29,166.075387
26.0,45,166.171535
124.0,215,166.667705
55.0,74,166.834554
60.0,95,167.041764
58.0,123,167.337169
163.0,259,167.939337
59.0,69,168.096205
11.0,39,168.169849
82.0,91,168.384119
168.0,167,168.775257
109.0,97,168.97497
70.0,80,169.175017
111.0,123,169.459843
142.0,159,169.842381
20.0,34,177.862029
296.0,377,178.767184
102.0,128,179.057736
91.0,104,179.298901
134.0,166,179.68343
205.0,230,180.217707
75.0,94,180.443148
139.0,144,180.764997
78.0,77,180.940092
117.0,138,181.268773
75.0,121,181.539173
97.0,142,181.873453
153.0,187,182.298907
55.0,101,182.539688
166.0,208,191.249655
208.0,259,191.856658
18.0,58,191.988754
144.0,147,192.31407
79.0,82,192.506811
24.0,44,192.618274
24.0,42,192.714608
35.0,50,192.824537
48.0,56,192.959376
61.0,72,193.121313
66.0,80,193.308725
145.0,189,193.74918
106.0,135,194.056756
17.0,33,194.121719
83.0,93,194.331983
393.0,396,195.296534
221.0,247,204.119875
256.0,266,204.737396
74.0,103,204.977219
195.0,192,205.465388
219.0,203,205.920578
276.0,267,206.533794
8.0,28,206.581826
57.0,73,206.770424
36.0,47,206.872623
155.0,199,207.343979
97.0,145,207.67081
76.0,106,207.906349
44.0,54,208.038839
269.0,380,217.119981
151.0,165,217.502687
125.0,177,217.919849
105.0,117,218.184818
263.0,313,218.937944
76.0,95,219.13658
168.0,188,219.602774
103.0,113,219.871745
8.0,12,219.903505
261.0,277,220.576287
110.0,140,220.904239
59.0,65,221.05792
50.0,58,221.185487
186.0,151,221.538844
179.0,203,230.31167
132.0,147,230.664249
396.0,357,231.846573
2.0,48,232.006677
58.0,72,232.29286
89.0,113,232.688865
11.0,21,232.75066
213.0,212,233.333753
192.0,232,233.938464
112.0,100,234.216251
83.0,111,234.501872
191.0,230,235.428327
128.0,156,236.595992
147.0,141,254.039557
110.0,144,255.485186
204.0,286,257.230615
272.0,273,258.488907
146.0,132,258.915522
140.0,179,259.498065
463.0,453,261.12005
262.0,228,261.820976
125.0,158,262.846944
113.0,129,263.976312
99.0,99,274.368916
117.0,101,274.984641
262.0,305,276.676968
63.0,94,276.916375
175.0,138,277.228989
46.0,48,277.341581
100.0,89,277.544682
174.0,182,277.969899
148.0,141,278.290294
136.0,141,278.626209
18.0,26,278.673831
170.0,150,279.088186
342.0,302,279.837185
209.0,229,280.420916
197.0,181,296.227506
260.0,252,298.438084
233.0,218,300.28181
171.0,161,301.67343
341.0,295,304.425611
52.0,88,305.246965
36.0,37,305.590269
153.0,178,306.974213
219.0,219,308.726393
165.0,186,310.259777
22.0,27,310.463321
324.0,298,328.62126
99.0,117,329.644927
108.0,112,330.569823
450.0,434,334.15501
698.0,725,339.853749
229.0,214,341.518943
351.0,295,343.66853
150.0,148,360.562797
368.0,341,363.407371
305.0,287,365.804853
314.0,360,368.869514
554.0,482,372.05111
126.0,96,372.356609
191.0,189,372.90067
393.0,439,383.122497
113.0,92,383.335447
145.0,119,383.625568
343.0,291,384.332475
286.0,272,384.970366
496.0,426,385.991285
329.0,298,386.824343
291.0,269,387.532865
423.0,438,402.051382
81.0,73,402.616887
328.0,328,405.192075
115.0,135,406.313684
479.0,481,410.374283
304.0,308,412.800687
59.0,50,413.190241
614.0,635,434.108241
399.0,346,436.871667
227.0,169,438.22444
294.0,308,440.663332
52.0,58,441.078634
229.0,224,442.820297
49.0,88,443.550292
325.0,306,445.921857
76.0,73,446.501269
505.0,432,464.672238
350.0,331,467.696906
370.0,383,470.873228
433.0,408,474.141887
386.0,401,477.760373
612.0,487,498.113473
435.0,397,502.338646
410.0,370,505.888483
254.0,225,508.014203
494.0,455,512.044674
339.0,346,531.779417
555.0,523,536.270808
202.0,211,538.375771
568.0,491,542.783755
289.0,287,545.603855
329.0,325,548.363834
269.0,259,566.151327
179.0,155,567.375504
484.0,424,570.8188
93.0,87,571.481434
290.0,300,573.720223
533.0,464,577.3065
537.0,503,581.109012
136.0,102,598.262077
412.0,351,601.237093
286.0,209,603.088535
366.0,301,606.546705
9.0,17,606.780065
302.0,294,609.676271
231.0,200,611.412502
977.0,866,635.420564
151.0,131,636.43787
261.0,239,638.431377
861.0,731,645.07991
126.0,107,646.154241
423.0,315,648.846442
119.0,114,649.816111
334.0,304,668.555362
188.0,148,669.749139
438.0,416,673.145776
355.0,322,676.032556
275.0,219,677.987136
373.0,329,680.933799
254.0,218,682.832253
76.0,73,683.551338
156.0,129,685.034577
315.0,268,703.216049
378.0,291,705.645165
587.0,487,709.806258
550.0,451,713.204824
732.0,595,717.658768
699.0,566,737.68282
662.0,584,742.098617
177.0,150,743.596115
195.0,150,745.014548
465.0,461,749.291395
493.0,393,770.204871
294.0,209,772.536968
154.0,150,773.924333
312.0,222,776.03158
582.0,471,780.108743
427.0,330,783.007577
479.0,396,786.492736
605.0,475,807.289836
633.0,514,811.838264
308.0,235,813.942676
371.0,287,816.460331
704.0,547,822.145851
392.0,334,841.29046
537.0,461,846.030411
710.0,632,851.809334
351.0,297,854.424982
481.0,361,874.372401
316.0,268,876.802591
560.0,443,880.740757
510.0,439,884.501649
726.0,622,890.398974
244.0,184,891.965421
81.0,96,908.973978
336.0,286,912.069178
119.0,125,913.211028
481.0,380,916.508219
520.0,454,920.564259
583.0,510,925.148738
119.0,102,925.98218
